accession,comment,created,strain,organism,mol_type,isolation_source,db_xref,country,collection_date,collected_by,gi,length,other_seqids,updated,date,region,host,division,note,serotype,G,P
MN862248,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862248,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761358,980,"{'gb': ['MN862248.1'], 'gi': ['1877761358']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862250,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862250,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761362,980,"{'gb': ['MN862250.1'], 'gi': ['1877761362']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862251,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862251,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761364,980,"{'gb': ['MN862251.1'], 'gi': ['1877761364']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862253,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862253,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761368,980,"{'gb': ['MN862253.1'], 'gi': ['1877761368']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862254,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862254,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761370,980,"{'gb': ['MN862254.1'], 'gi': ['1877761370']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862255,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862255,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761372,980,"{'gb': ['MN862255.1'], 'gi': ['1877761372']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G9,G9,G9,None
MN862256,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862256,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761374,980,"{'gb': ['MN862256.1'], 'gi': ['1877761374']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G9,G9,G9,None
MN862257,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862257,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761376,980,"{'gb': ['MN862257.1'], 'gi': ['1877761376']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G9,G9,G9,None
MN862258,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862258,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761378,980,"{'gb': ['MN862258.1'], 'gi': ['1877761378']}",27-JUL-2020,2020-07-27,North America,pig,North Carolina,genotype: G9,G9,G9,None
MN862259,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862259,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761380,980,"{'gb': ['MN862259.1'], 'gi': ['1877761380']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862260,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862260,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761382,980,"{'gb': ['MN862260.1'], 'gi': ['1877761382']}",27-JUL-2020,2020-07-27,North America,pig,Montana,genotype: G9,G9,G9,None
MN862261,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862261,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761384,980,"{'gb': ['MN862261.1'], 'gi': ['1877761384']}",27-JUL-2020,2020-07-27,North America,pig,Kansas,genotype: G9,G9,G9,None
MN862262,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862262,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761386,980,"{'gb': ['MN862262.1'], 'gi': ['1877761386']}",27-JUL-2020,2020-07-27,North America,pig,Colorado,genotype: G9,G9,G9,None
MN862263,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862263,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761388,980,"{'gb': ['MN862263.1'], 'gi': ['1877761388']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,"Mixed G9 and G11 sample;
genotype: G9","G9, G11, G9",G9,None
MN862264,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862264,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761390,980,"{'gb': ['MN862264.1'], 'gi': ['1877761390']}",27-JUL-2020,2020-07-27,North America,pig,Colorado,genotype: G9,G9,G9,None
MN862265,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862265,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761392,980,"{'gb': ['MN862265.1'], 'gi': ['1877761392']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862266,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862266,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761394,980,"{'gb': ['MN862266.1'], 'gi': ['1877761394']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862267,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862267,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761396,980,"{'gb': ['MN862267.1'], 'gi': ['1877761396']}",27-JUL-2020,2020-07-27,North America,pig,Colorado,genotype: G9,G9,G9,None
MN862268,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862268,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761398,980,"{'gb': ['MN862268.1'], 'gi': ['1877761398']}",27-JUL-2020,2020-07-27,North America,pig,Colorado,genotype: G9,G9,G9,None
MN862269,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862269,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761400,980,"{'gb': ['MN862269.1'], 'gi': ['1877761400']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862270,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862270,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761402,980,"{'gb': ['MN862270.1'], 'gi': ['1877761402']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862271,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862271,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761404,980,"{'gb': ['MN862271.1'], 'gi': ['1877761404']}",27-JUL-2020,2020-07-27,North America,pig,Montana,genotype: G9,G9,G9,None
MN862272,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862272,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761406,980,"{'gb': ['MN862272.1'], 'gi': ['1877761406']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G9,G9,G9,None
MN862276,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862276,Rotavirus A,genomic RNA,,taxon:28875,USA,2012,Douglas Marthaler,1877761414,980,"{'gb': ['MN862276.1'], 'gi': ['1877761414']}",27-JUL-2020,2020-07-27,North America,pig,Nebraska,genotype: G11,G11,G11,None
MN862277,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862277,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761416,980,"{'gb': ['MN862277.1'], 'gi': ['1877761416']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G11,G11,G11,None
MN862279,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862279,Rotavirus A,genomic RNA,,taxon:28875,USA,2015,Douglas Marthaler,1877761420,980,"{'gb': ['MN862279.1'], 'gi': ['1877761420']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,"Mixed G9 and G11 sample;
genotype: G11","G9, G11, G11",G9,None
KX363372,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363372,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,06-Mar-2012,,1040789379,979,"{'gb': ['KX363372.1'], 'gi': ['1040789379']}",02-JUL-2016,2016-07-02,Asia,Sus scrofa domesticus,,genotype: G4,G4,G4,None
KC254793,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254793,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2011,,460479298,978,"{'gb': ['KC254793.1'], 'gi': ['460479298']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
KX362694,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX362694,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,26-Jun-2013,,1040789253,976,"{'gb': ['KX362694.1'], 'gi': ['1040789253']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G4,G4,G4,None
KX363011,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363011,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,17-Dec-2012,,1040789311,976,"{'gb': ['KX363011.1'], 'gi': ['1040789311']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
KX363163,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363163,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,04-Feb-2013,,1040789339,976,"{'gb': ['KX363163.1'], 'gi': ['1040789339']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
LC591002,,11-DEC-2020,LC591002,Bovine rotavirus A,genomic RNA,,taxon:35333,Japan,2019-06,,1942496881,975,"{'dbj': ['LC591002.1'], 'gi': ['1942496881']}",11-DEC-2020,2020-12-11,Asia,Bos taurus,Hokkaido,,,,
LC591044,,11-DEC-2020,LC591044,Bovine rotavirus A,genomic RNA,,taxon:35333,Japan,2019-08,,1942497294,975,"{'dbj': ['LC591044.1'], 'gi': ['1942497294']}",11-DEC-2020,2020-12-11,Asia,Bos taurus,Okayama,,,,
LC591046,,11-DEC-2020,LC591046,Bovine rotavirus A,genomic RNA,,taxon:35333,Japan,2019-08,,1942497313,975,"{'dbj': ['LC591046.1'], 'gi': ['1942497313']}",11-DEC-2020,2020-12-11,Asia,Bos taurus,Okayama,,,,
KJ482529,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482529,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185928,972,"{'gb': ['KJ482529.1'], 'gi': ['743185928']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
EU383000,,03-FEB-2008,EU383000,Rotavirus A Hu/Slovenia/SI-MB6/G3P[6],genomic RNA,,taxon:492511,Slovenia,2005,,166203601,971,"{'gb': ['EU383000.1'], 'gi': ['166203601']}",27-JUN-2008,2008-06-27,Europe,,,genotype: G3P[6],G3P[6],G3,P6
MT025291,Sequencing Technology :: Sanger dideoxy sequencing,18-NOV-2020,MT025291,Bovine rotavirus A,genomic RNA,feces,taxon:35333,Spain,15-Jun-2017,EXOPOL-UNIZAR,1931769631,971,"{'gb': ['MT025291.1'], 'gi': ['1931769631']}",18-NOV-2020,2020-11-18,Europe,,Cordoba,subtype: G3,G3,G3,None
AJ311741,,02-JUL-2001,AJ311741,Human rotavirus A,genomic RNA,,taxon:10941,USA,,,14595056,970,"{'emb': ['AJ311741.1'], 'gi': ['14595056']}",23-JUL-2016,2016-07-23,North America,,,,,,
KY021149,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021149,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,29-May-2014,,1205242853,970,"{'gb': ['KY021149.1'], 'gi': ['1205242853']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
AF426162,,14-NOV-2001,AF426162,Porcine rotavirus A,genomic RNA,,taxon:10967,,,,16923544,969,"{'gb': ['AF426162.1'], 'gi': ['16923544']}",26-JUL-2016,2016-07-26,No information,,,,,,
MT025310,Sequencing Technology :: Sanger dideoxy sequencing,18-NOV-2020,MT025310,Bovine rotavirus A,genomic RNA,feces,taxon:35333,Spain,15-Jan-2018,EXOPOL-UNIZAR,1931769669,969,"{'gb': ['MT025310.1'], 'gi': ['1931769669']}",18-NOV-2020,2020-11-18,Europe,,Sevilla,subtype: G6,G6,G6,None
LC591010,,11-DEC-2020,LC591010,Bovine rotavirus A,genomic RNA,,taxon:35333,Japan,2019-03,,1942496958,969,"{'dbj': ['LC591010.1'], 'gi': ['1942496958']}",11-DEC-2020,2020-12-11,Asia,Bos taurus,Hokkaido,,,,
KC254786,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254786,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2011,,460479284,966,"{'gb': ['KC254786.1'], 'gi': ['460479284']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
KY021145,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021145,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,31-Aug-2014,,1205242845,966,"{'gb': ['KY021145.1'], 'gi': ['1205242845']}",17-JUN-2017,2017-06-17,Asia,wild boar,,,,,
HQ714480,,01-APR-2012,HQ714480,Bovine rotavirus,genomic RNA,,taxon:10927,Ireland,2008,,330902380,964,"{'gb': ['HQ714480.1'], 'gi': ['330902380']}",25-JUL-2016,2016-07-25,Europe,bovine,,genotype: G6-P[5]-I2-R2-C2-M2-A?-N2-T6-E2-H3,G6-P[5]-I2-R2-C2-M2-A,G6,P5
LC591074,,11-DEC-2020,LC591074,Bovine rotavirus A,genomic RNA,,taxon:35333,Japan,2020-02,,1942497614,957,"{'dbj': ['LC591074.1'], 'gi': ['1942497614']}",11-DEC-2020,2020-12-11,Asia,Bos taurus,Fukushima,,,,
KC254780,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254780,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2011,,460479272,956,"{'gb': ['KC254780.1'], 'gi': ['460479272']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
MT274679,Sequencing Technology :: Sanger dideoxy sequencing,08-DEC-2020,MT274679,Bovine rotavirus A,genomic RNA,calf diarrhoea,taxon:35333,India,,Vandana Gupta,1939264310,954,"{'gb': ['MT274679.1'], 'gi': ['1939264310']}",10-DEC-2020,2020-12-10,Asia,bovine,,group: A,,,
LC591078,,11-DEC-2020,LC591078,Bovine rotavirus A,genomic RNA,,taxon:35333,Japan,2020-03,,1942497658,954,"{'dbj': ['LC591078.1'], 'gi': ['1942497658']}",11-DEC-2020,2020-12-11,Asia,Bos taurus,Fukushima,,,,
KX363361,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363361,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,05-Mar-2012,,1040789377,953,"{'gb': ['KX363361.1'], 'gi': ['1040789377']}",02-JUL-2016,2016-07-02,Asia,Sus scrofa domesticus,,genotype: G9,G9,G9,None
KY021122,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021122,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,03-Jun-2014,,1205242799,952,"{'gb': ['KY021122.1'], 'gi': ['1205242799']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
KX362793,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX362793,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,14-Jan-2014,,1040789271,951,"{'gb': ['KX362793.1'], 'gi': ['1040789271']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
GQ149096,,07-NOV-2009,GQ149096,Rotavirus A EC2184/ECU/G11P[6],genomic RNA,,taxon:672377,Ecuador,,,262292910,949,"{'gb': ['GQ149096.1'], 'gi': ['262292910']}",24-JUL-2016,2016-07-24,South America,Homo sapiens,,"porcine-human reassortant isolated during 2005-2006 rotavirus season;
genotype: G11P[6]",G11P[6],G11,P6
JX094039,,19-AUG-2012,JX094039,Rotavirus A,genomic RNA,,taxon:28875,Slovenia,16-Mar-2004,,400540543,949,"{'gb': ['JX094039.1'], 'gi': ['400540543']}",21-MAR-2013,2013-03-21,Europe,Bos taurus,,genotype: G6P[11],G6P[11],G6,P11
KJ701407,Sequencing Technology :: Sanger dideoxy sequencing,07-JUL-2014,KJ701407,Porcine rotavirus A,genomic RNA,diarrheal stool,taxon:10967,India,10-Mar-2013,P. Chakraborty,661920329,949,"{'gb': ['KJ701407.1'], 'gi': ['661920329']}",07-JUL-2014,2014-07-07,Asia,porcine,,,,,
KJ482520,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482520,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185910,948,"{'gb': ['KJ482520.1'], 'gi': ['743185910']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
KY021141,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021141,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,19-Aug-2014,,1205242837,948,"{'gb': ['KY021141.1'], 'gi': ['1205242837']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
EF200547,,27-AUG-2008,EF200547,Bovine rotavirus A,genomic RNA,,taxon:35333,India,,,145977409,947,"{'gb': ['EF200547.1'], 'gi': ['145977409']}",23-JUL-2016,2016-07-23,Asia,,,G10P[14] strain,G10P[14],G10,P14
KY021137,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021137,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,19-Aug-2014,,1205242829,946,"{'gb': ['KY021137.1'], 'gi': ['1205242829']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
MN862130,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862130,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761122,946,"{'gb': ['MN862130.1'], 'gi': ['1877761122']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
EU348713,,14-JAN-2008,EU348713,Rotavirus A pig/Slovenia/P14-3/G4P[6],genomic RNA,,taxon:492507,Slovenia,,,164521156,945,"{'gb': ['EU348713.1'], 'gi': ['164521156']}",26-JUL-2016,2016-07-26,Europe,,,,,,
LC095888,,02-MAY-2017,LC095888,Human rotavirus A,genomic RNA,,taxon:10941,Viet Nam,2007,,1188454118,945,"{'dbj': ['LC095888.1'], 'gi': ['1188454118']}",07-SEP-2019,2019-09-07,Asia,Homo sapiens,,,,,
LC095921,,02-MAY-2017,LC095921,Human rotavirus A,genomic RNA,,taxon:10941,Viet Nam,2007,,1188454162,945,"{'dbj': ['LC095921.1'], 'gi': ['1188454162']}",07-SEP-2019,2019-09-07,Asia,Homo sapiens,,,,,
LC095932,,02-MAY-2017,LC095932,Human rotavirus A,genomic RNA,,taxon:10941,Viet Nam,2008,,1188454184,945,"{'dbj': ['LC095932.1'], 'gi': ['1188454184']}",07-SEP-2019,2019-09-07,Asia,Homo sapiens,,,,,
LC095943,,02-MAY-2017,LC095943,Human rotavirus A,genomic RNA,,taxon:10941,Viet Nam,2008,,1188454206,945,"{'dbj': ['LC095943.1'], 'gi': ['1188454206']}",07-SEP-2019,2019-09-07,Asia,Homo sapiens,,,,,
KY021136,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021136,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,19-Aug-2014,,1205242827,945,"{'gb': ['KY021136.1'], 'gi': ['1205242827']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
KY021146,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021146,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,31-Aug-2014,,1205242847,945,"{'gb': ['KY021146.1'], 'gi': ['1205242847']}",17-JUN-2017,2017-06-17,Asia,wild boar,,,,,
KX363282,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363282,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,15-Feb-2012,,1040789363,944,"{'gb': ['KX363282.1'], 'gi': ['1040789363']}",02-JUL-2016,2016-07-02,Asia,Sus scrofa domesticus,,genotype: G1,G1,G1,None
KJ701408,Sequencing Technology :: Sanger dideoxy sequencing,07-JUL-2014,KJ701408,Human rotavirus A,genomic RNA,diarrheal stool,taxon:10941,India,15-Sep-2012,P. Chakraborty,661920331,942,"{'gb': ['KJ701408.1'], 'gi': ['661920331']}",07-JUL-2014,2014-07-07,Asia,Homo sapiens,,,,,
MN862091,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862091,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761044,942,"{'gb': ['MN862091.1'], 'gi': ['1877761044']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G3,G3,G3,None
EU143710,,02-OCT-2007,EU143710,Bovine rotavirus,genomic RNA,,taxon:10927,,,,157713481,941,"{'gb': ['EU143710.1'], 'gi': ['157713481']}",26-JUL-2016,2016-07-26,No information,,,genotype: G6P[5],G6P[5],G6,P5
MH140444,Sequencing Technology :: Sanger dideoxy sequencing,19-JAN-2019,MH140444,Rotavirus A,genomic RNA,feces,taxon:28875,Bangladesh,25-Apr-2017,,1554611736,940,"{'gb': ['MH140444.1'], 'gi': ['1554611736']}",19-JAN-2019,2019-01-19,Asia,cow,,genotype: G6P[11],G6P[11],G6,P11
KY021132,Sequencing Technology :: Sanger dideoxy sequencing,17-JUN-2017,KY021132,Porcine rotavirus A,genomic RNA,feces,taxon:10967,Viet Nam,03-Jul-2014,,1205242819,939,"{'gb': ['KY021132.1'], 'gi': ['1205242819']}",17-JUN-2017,2017-06-17,Asia,swine,,,,,
KC254775,Sequencing Technology :: Sanger dideoxy sequencing,18-MAR-2013,KC254775,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2012,,460479262,937,"{'gb': ['KC254775.1'], 'gi': ['460479262']}",08-AUG-2013,2013-08-08,South America,pig,,,,,
MH140445,Sequencing Technology :: Sanger dideoxy sequencing,19-JAN-2019,MH140445,Rotavirus A,genomic RNA,feces,taxon:28875,Bangladesh,02-May-2017,,1554611738,937,"{'gb': ['MH140445.1'], 'gi': ['1554611738']}",19-JAN-2019,2019-01-19,Asia,cow,,genotype: G6P[11],G6P[11],G6,P11
MN862109,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862109,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761080,937,"{'gb': ['MN862109.1'], 'gi': ['1877761080']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G3,G3,G3,None
MN862134,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862134,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761130,937,"{'gb': ['MN862134.1'], 'gi': ['1877761130']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G4,G4,G4,None
MN862139,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862139,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761140,937,"{'gb': ['MN862139.1'], 'gi': ['1877761140']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G4,G4,G4,None
MN862204,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862204,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761270,937,"{'gb': ['MN862204.1'], 'gi': ['1877761270']}",27-JUL-2020,2020-07-27,North America,pig,Indiana,genotype: G9,G9,G9,None
MN862230,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862230,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761322,937,"{'gb': ['MN862230.1'], 'gi': ['1877761322']}",27-JUL-2020,2020-07-27,North America,pig,South Dakota,genotype: G9,G9,G9,None
KJ482527,Sequencing Technology :: Sanger dideoxy sequencing,20-MAR-2015,KJ482527,Porcine rotavirus A,genomic RNA,stool sample,taxon:10967,Brazil,2013,,743185924,936,"{'gb': ['KJ482527.1'], 'gi': ['743185924']}",18-JUN-2015,2015-06-18,South America,pig,,,,,
MN862100,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862100,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761062,936,"{'gb': ['MN862100.1'], 'gi': ['1877761062']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G3,G3,G3,None
MN862136,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862136,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761134,936,"{'gb': ['MN862136.1'], 'gi': ['1877761134']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G4,G4,G4,None
MN862220,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862220,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761302,936,"{'gb': ['MN862220.1'], 'gi': ['1877761302']}",27-JUL-2020,2020-07-27,North America,pig,Minnesota,genotype: G9,G9,G9,None
MN862228,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862228,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761318,936,"{'gb': ['MN862228.1'], 'gi': ['1877761318']}",27-JUL-2020,2020-07-27,North America,pig,Illinois,genotype: G9,G9,G9,None
MN862097,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862097,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761056,935,"{'gb': ['MN862097.1'], 'gi': ['1877761056']}",27-JUL-2020,2020-07-27,North America,pig,Iowa,genotype: G3,G3,G3,None
MN862140,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862140,Rotavirus A,genomic RNA,,taxon:28875,USA,2013,Douglas Marthaler,1877761142,935,"{'gb': ['MN862140.1'], 'gi': ['1877761142']}",27-JUL-2020,2020-07-27,North America,pig,Missouri,genotype: G4,G4,G4,None
MN862152,Sequencing Technology :: Sanger dideoxy sequencing,27-JUL-2020,MN862152,Rotavirus A,genomic RNA,,taxon:28875,USA,2014,Douglas Marthaler,1877761166,935,"{'gb': ['MN862152.1'], 'gi': ['1877761166']}",27-JUL-2020,2020-07-27,North America,pig,Oklahoma,genotype: G4,G4,G4,None
KX363253,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363253,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,01-Apr-2013,,1040789355,934,"{'gb': ['KX363253.1'], 'gi': ['1040789355']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
